"GeneSymbol","log2FC_db_dw","pvalue","alias","Entrez","log2FC_hallock","pval_hallock","fdr_hallock"
"TMOD1",1.247792,1.25e-17,"E-Tmod|Tmod","25566",0.171113577263882,0.197837025325709,0.491020630880647
"BDNF",1.6924942,1.46e-17,"","24225",3.00303399663158,0.000346333757395122,0.0141450725425529
"CDKN1A",1.5740019,1.68e-17,"Cip1|UV96|Waf1","114851",1.86528010841667,0.00489507662543723,0.0680358988521357
"PCSK1",1.3431313,1.73e-17,"BDP|PC1|PC3","25204",1.91769801516565,1.18610365826891e-09,1.34833628086102e-06
"AJAP1",1.2560861,2.15e-17,"neumo48","687031",0.0840877399623196,0.54614789936845,0.782164841674394
"PPP1R18",-0.9783594,2.15e-17,"Kiaa1949|RGD1309543","361790",0.106001131151638,0.585028064562388,0.805683420182769
"SHC4",2.0069253,4.6e-17,"RGD1309182","679845",0.174836213603244,0.357417962367689,0.645953572334186
"KLHDC8A",-1.9683065,5.18e-17,"RGD1305132","305096",0.224628509731099,0.256824387125034,0.554925090744713
"CARS",0.8850533,6.37e-17,"","293638",0.222401478407988,0.0576045702363963,0.268865126865224
"PDE9A",1.5808959,9.09e-17,"","191569",-0.180421393492548,0.377607522127527,0.66241276332669
"VEGFA",1.445269,9.35e-17,"VEGF-A|VEGF164|VPF|Vegf","83785",0.540853786296825,0.00726922465126878,0.0866728746671581
"CSPG4",1.0248827,1e-16,"Ng2","81651",-0.125953837158324,0.413450647304226,0.691630734560094
"HACE1",1.0541575,1.18e-16,"","361866",-0.180576403059474,0.328848739122204,0.620690240745184
"ELOVL7",2.0444527,1.19e-16,"","361895",-0.273918127790874,0.184498353446899,0.47554458968176
"DNAJB4",-0.92410535,1.29e-16,"","295549",0.604457146299675,0.00121469069188166,0.0298133077173268
"ADRA1B",1.8079491,1.36e-16,"","24173",-0.0702328407985795,0.759437385525306,0.89790783901272
"RBMS1",1.556421,2.05e-16,"","362138",-0.362105479150416,0.0809579514119299,0.315355340146756
"MYBPH",1.4676771,3e-16,"","83708",NA,NA,NA
"TRIM9",1.334747,4.48e-16,"","155812",0.239314704798555,0.149584615543689,0.427426393416417
"PIK3CD",-1.2090521,4.9e-16,"","366508",-0.244481745168388,0.135374484961222,0.406520797076097
"RGD1563365",1.0237044,4.9e-16,"","299700",NA,NA,NA
"VCL",1.0615209,7.73e-16,"","305679",0.795776925084951,0.00274212169346991,0.0491954439897056
"PNMA2",-0.8894666,8.17e-16,"","305977",-0.108198359542037,0.438351152891767,0.710177457677856
"WDR1",0.78475046,8.63e-16,"","360950",0.653680806535899,3.63095423600686e-05,0.00308284587457147
"PLEKHH2",1.9632562,8.7e-16,"RGD1304935","313866",0.0666065235219101,0.662166468318066,0.846753036523585
"CCPG1",-0.99297786,9.71e-16,"","363098",-0.0011420155131008,0.992918614681364,0.996753599039655
"CREM",1.5828385,1.21e-15,"Icer","25620",1.08265999734387,6.05330970328444e-08,2.90107554097088e-05
"PRAGMIN",1.5849367,1.32e-15,"RGD1311793","306506",NA,NA,NA
"SIK1",1.9205624,1.63e-15,"Sik|Snf1lk","59329",1.40899060064534,1.66241903732095e-05,0.00176250872236587
"KCNK2",-1.6440685,1.99e-15,"Trek-1|rTREK1d","170899",-0.0204390726781182,0.897970294152165,0.960193779208905
"MAP2K3",1.8152273,2.12e-15,"Mek3|Mkk3","303200",0.4301076779832,0.00526936189568055,0.0712635050293559
"UBASH3B",1.6640985,2.29e-15,"RGD1310357|Sts-1","315579",0.266806937247314,0.12371543718023,0.388142483223225
"SIAH3",2.1123347,3.02e-15,"","692004",-0.313986810567503,0.406253141261541,0.686150319193044
"FAM184B",-1.8618681,3.59e-15,"RGD1564950","289671",-0.277982949984892,0.205843549808228,0.500422206739815
"RBM12",1.0843652,3.59e-15,"","652928",0.249938362092563,0.0986994850495643,0.348445283485884
"PVR",1.6094185,3.95e-15,"Taa1|Tage4","25066",0.989391284878964,0.000260954002064335,0.0117613233265208
"ADCK3",-1.4241498,4.09e-15,"Cabc1","360887",NA,NA,NA
"HSPA4L",1.0953513,4.81e-15,"APG-1|OSP94","294993",0.403295846951637,0.000708305774408526,0.0222290686440909
"NGF",2.332491,5.61e-15,"Ngfb|beta-NGF","310738",0.35085013220877,0.147178613026163,0.423978359052417
"AGTR1A",1.9648544,5.98e-15,"AT1|AT1A|AT1R|Agtr1","24180",-0.330046754211936,0.434411373206816,0.70704148254517
"SLC6A17",1.475906,6.02e-15,"Ntt4","613226",0.504135228853888,0.00557688434976867,0.0736828083025117
"EIF2AK3",0.8770304,6.95e-15,"PEK","29702",0.321755003139797,0.0470299880431483,0.242766805080449
"CDC37L1",0.7691417,7.22e-15,"Cdc37l","293886",0.357986811499145,0.0036310430714951,0.0568900484907602
